Week Endings,Avg Ticket Price ($),Top Ticket Price ($),Seats Sold,Seats in Theatre,% Cap
"FEB 19, 2012",$124.07,$197.50,"13,421","1,677",100.04%
"FEB 12, 2012",$110.03,$197.50,"12,268","1,677",91.44%
"FEB 5, 2012",$104.66,$197.50,"11,721","1,677",87.37%
"JAN 29, 2012",$109.37,$197.50,"12,639","1,677",94.21%
"JAN 22, 2012",$107.84,$197.50,"13,409","1,677",99.95%
"JAN 15, 2012",$118.49,$197.50,"13,419","1,677",100.02%
"JAN 8, 2012",$143.39,$197.50,"13,058","1,677",97.33%
"JAN 1, 2012",$161.91,$197.50,"15,096","1,677",100.02%
"DEC 25, 2011",$148.48,$197.50,"13,345","1,677",99.47%
"DEC 18, 2011",$138.10,$197.50,"13,279","1,677",98.98%
"DEC 11, 2011",$133.55,$197.50,"13,418","1,677",100.02%
"DEC 4, 2011",$130.79,$197.50,"12,865","1,677",95.89%
"NOV 27, 2011",$154.94,$197.50,"13,422","1,677",100.05%
"NOV 20, 2011",$116.15,$197.50,"13,196","1,677",98.36%
"NOV 13, 2011",$116.79,$197.50,"13,423","1,677",100.05%
"NOV 6, 2011",$117.66,$197.50,"13,423","1,677",100.05%
"OCT 30, 2011",$114.69,$197.50,"13,410","1,677",99.96%
"OCT 23, 2011",$116.36,$197.50,"13,419","1,677",100.02%
"OCT 16, 2011",$124.42,$197.50,"13,419","1,677",100.02%
"OCT 9, 2011",$123.70,$197.50,"13,420","1,677",100.03%
"OCT 2, 2011",$105.43,$197.50,"13,419","1,677",100.02%
"SEP 25, 2011",$100.80,$197.50,"13,422","1,677",100.05%
"SEP 18, 2011",$106.09,$197.50,"13,337","1,677",99.41%
"SEP 11, 2011",$105.24,$197.50,"12,345","1,677",92.02%
"SEP 4, 2011",$118.65,$197.50,"13,422","1,677",100.05%
"AUG 28, 2011",$130.57,$197.50,"8,280","1,677",98.75%
"AUG 21, 2011",$133.63,$197.50,"13,398","1,677",99.87%
"AUG 14, 2011",$137.30,$197.50,"13,419","1,677",100.02%
"AUG 7, 2011",$137.91,$197.50,"13,426","1,677",100.08%
"JUL 31, 2011",$138.25,$197.50,"13,422","1,677",100.05%
"JUL 24, 2011",$138.23,$197.50,"13,418","1,677",100.02%
"JUL 17, 2011",$137.25,$197.50,"13,419","1,677",100.02%
"JUL 10, 2011",$137.80,$197.50,"13,421","1,677",100.04%
"JUL 3, 2011",$130.69,$197.50,"13,418","1,677",100.02%
"JUN 26, 2011",$130.28,$197.50,"13,419","1,677",100.02%
"JUN 19, 2011",$129.36,$197.50,"13,408","1,677",99.94%
"JUN 12, 2011",$126.02,$197.50,"13,412","1,677",99.97%
"JUN 5, 2011",$123.99,$197.50,"13,358","1,677",99.57%
"MAY 29, 2011",$123.18,$197.50,"13,419","1,677",100.02%
"MAY 22, 2011",$122.89,$250.00,"13,422","1,677",100.05%
"MAY 15, 2011",$120.49,$250.00,"12,968","1,677",96.66%
"MAY 8, 2011",$119.34,$250.00,"13,421","1,677",100.04%
"MAY 1, 2011",$134.58,$250.00,"13,037","1,677",97.18%
"APR 24, 2011",$142.38,$250.00,"13,422","1,677",100.05%
"APR 17, 2011",$120.85,$250.00,"13,402","1,677",99.90%
"APR 10, 2011",$116.36,$250.00,"13,412","1,677",99.97%
"APR 3, 2011",$118.12,$250.00,"13,384","1,677",99.76%
"MAR 27, 2011",$118.79,$250.00,"13,281","1,677",98.99%
"MAR 20, 2011",$120.15,$250.00,"13,421","1,677",100.04%
"MAR 13, 2011",$116.48,$250.00,"12,868","1,677",95.92%
"MAR 6, 2011",$104.29,$250.00,"11,626","1,677",86.66%
"FEB 27, 2011",$122.47,$250.00,"12,588","1,677",93.83%
"FEB 20, 2011",$121.46,$250.00,"12,636","1,677",94.19%
"FEB 13, 2011",$104.84,$250.00,"12,234","1,677",91.19%
"FEB 6, 2011",$92.59,$250.00,"11,766","1,677",87.70%
"JAN 30, 2011",$100.92,$250.00,"11,288","1,677",84.14%
"JAN 23, 2011",$107.61,$250.00,"9,229","1,677",68.79%
"JAN 16, 2011",$118.99,$250.00,"11,214","1,677",83.59%
"JAN 9, 2011",$121.21,$250.00,"12,793","1,677",95.36%
"JAN 2, 2011",$148.53,$250.00,"13,422","1,677",100.04%
"DEC 26, 2010",$138.85,$250.00,"13,135","1,677",97.91%
"DEC 19, 2010",$123.84,$250.00,"12,693","1,677",94.61%
"DEC 12, 2010",$120.07,$250.00,"13,122","1,677",97.81%
"DEC 5, 2010",$119.17,$250.00,"12,831","1,677",95.64%
"NOV 28, 2010",$140.39,$250.00,"13,324","1,677",99.31%
"NOV 21, 2010",$112.99,$250.00,"11,784","1,677",87.84%
"NOV 14, 2010",$110.22,$250.00,"12,443","1,677",92.75%
"NOV 7, 2010",$112.55,$250.00,"12,141","1,677",90.50%
"OCT 31, 2010",$106.50,$250.00,"11,825","1,677",88.14%
"OCT 24, 2010",$112.81,$250.00,"12,512","1,677",93.26%
"OCT 17, 2010",$115.99,$250.00,"12,523","1,677",93.34%
"OCT 10, 2010",$117.47,$250.00,"13,146","1,677",97.99%
"OCT 3, 2010",$109.49,$250.00,"11,567","1,677",86.22%
"SEP 26, 2010",$111.81,$250.00,"11,353","1,677",84.62%
"SEP 19, 2010",$110.77,$250.00,"10,924","1,677",81.43%
"SEP 12, 2010",$109.78,$250.00,"11,189","1,677",83.40%
"SEP 5, 2010",$116.66,$250.00,"12,582","1,677",93.78%
"AUG 29, 2010",$119.28,$250.00,"12,963","1,677",96.62%
"AUG 22, 2010",$121.61,$250.00,"13,425","1,677",100.07%
"AUG 15, 2010",$122.44,$250.00,"13,422","1,677",100.04%
"AUG 8, 2010",$121.93,$250.00,"13,422","1,677",100.04%
"AUG 1, 2010",$122.44,$250.00,"13,420","1,677",100.03%
"JUL 25, 2010",$120.53,$250.00,"13,418","1,677",100.01%
"JUL 18, 2010",$120.96,$250.00,"13,427","1,677",100.08%
"JUL 11, 2010",$121.74,$250.00,"13,425","1,677",100.07%
"JUL 4, 2010",$117.98,$250.00,"13,421","1,677",100.04%
"JUN 27, 2010",$115.59,$250.00,"13,425","1,677",100.07%
"JUN 20, 2010",$113.86,$250.00,"13,418","1,677",100.01%
"JUN 13, 2010",$111.49,$250.00,"13,418","1,677",100.01%
"JUN 6, 2010",$109.95,$250.00,"13,390","1,677",99.81%
"MAY 30, 2010",$105.42,$250.00,"13,423","1,677",100.05%
"MAY 23, 2010",$104.85,$250.00,"13,419","1,677",100.02%
"MAY 16, 2010",$103.70,$250.00,"13,415","1,677",99.99%
"MAY 9, 2010",$102.99,$250.00,"13,316","1,677",99.25%
"MAY 2, 2010",$101.26,$250.00,"12,832","1,677",95.65%
"APR 25, 2010",$105.55,$250.00,"13,386","1,677",99.78%
"APR 18, 2010",$105.08,$250.00,"13,116","1,677",97.76%
"APR 11, 2010",$114.07,$250.00,"13,417","1,677",100.01%
"APR 4, 2010",$115.09,$250.00,"13,421","1,677",100.04%
"MAR 28, 2010",$102.17,$250.00,"13,291","1,677",99.07%
"MAR 21, 2010",$100.56,$250.00,"13,208","1,654",99.82%
"MAR 14, 2010",$99.47,$250.00,"11,976","1,654",90.51%
"MAR 7, 2010",$92.90,$250.00,"11,223","1,654",84.82%
"FEB 28, 2010",$94.99,$250.00,"10,659","1,654",80.55%
"FEB 21, 2010",$110.30,$250.00,"13,190","1,654",99.68%
"FEB 14, 2010",$104.66,$250.00,"11,592","1,654",87.61%
"FEB 7, 2010",$85.40,$250.00,"11,063","1,654",83.61%
"JAN 24, 2010",$96.16,$250.00,"10,706","1,654",80.91%
"JAN 17, 2010",$104.46,$250.00,"12,327","1,654",93.16%
"JAN 10, 2010",$106.05,$250.00,"12,993","1,654",98.19%
"JAN 3, 2010",$131.50,$250.00,"13,233","1,654",100.01%
"DEC 27, 2009",$129.55,$250.00,"13,235","1,654",100.02%
"DEC 20, 2009",$117.15,$250.00,"12,719","1,654",96.12%
"DEC 13, 2009",$110.33,$250.00,"12,949","1,654",97.86%
"DEC 6, 2009",$107.76,$250.00,"12,586","1,654",95.12%
"NOV 29, 2009",$127.89,$250.00,"13,239","1,654",100.05%
"NOV 22, 2009",$102.37,$250.00,"11,635","1,654",87.93%
"NOV 15, 2009",$101.41,$250.00,"11,503","1,654",86.93%
"NOV 8, 2009",$102.13,$250.00,"12,184","1,654",92.08%
"NOV 1, 2009",$97.37,$250.00,"11,671","1,654",88.20%
"OCT 25, 2009",$101.57,$250.00,"12,719","1,654",96.12%
"OCT 18, 2009",$105.89,$250.00,"12,975","1,654",98.06%
"OCT 11, 2009",$106.78,$250.00,"13,238","1,654",100.05%
"OCT 4, 2009",$101.49,$250.00,"11,448","1,654",86.52%
"SEP 27, 2009",$99.99,$250.00,"12,044","1,654",91.02%
"SEP 20, 2009",$98.80,$250.00,"11,369","1,654",85.92%
"SEP 13, 2009",$97.46,$250.00,"11,344","1,654",85.73%
"SEP 6, 2009",$106.63,$250.00,"11,626","1,654",87.86%
"AUG 30, 2009",$107.69,$250.00,"12,543","1,654",94.79%
"AUG 23, 2009",$109.74,$250.00,"13,164","1,654",99.49%
"AUG 16, 2009",$111.80,$250.00,"13,234","1,654",100.02%
"AUG 9, 2009",$112.85,$250.00,"13,234","1,654",100.02%
"AUG 2, 2009",$111.41,$250.00,"13,170","1,654",99.53%
"JUL 26, 2009",$111.32,$250.00,"13,238","1,654",100.05%
"JUL 19, 2009",$110.04,$250.00,"13,230","1,654",99.98%
"JUL 12, 2009",$109.16,$250.00,"13,084","1,654",98.88%
"JUL 5, 2009",$106.84,$250.00,"12,113","1,654",91.54%
"JUN 28, 2009",$108.36,$250.00,"12,656","1,654",95.65%
"JUN 21, 2009",$100.20,$250.00,"13,238","1,654",100.05%
"JUN 14, 2009",$99.16,$250.00,"13,234","1,654",100.02%
"JUN 7, 2009",$95.87,$250.00,"12,669","1,654",95.75%
"MAY 31, 2009",$94.26,$250.00,"12,839","1,654",97.03%
"MAY 24, 2009",$86.03,$250.00,"13,006","1,654",98.29%
"MAY 17, 2009",$83.66,$250.00,"12,658","1,654",95.66%
"MAY 10, 2009",$83.73,$250.00,"12,530","1,654",94.69%
"MAY 3, 2009",$81.35,$250.00,"12,897","1,654",97.47%
"APR 26, 2009",$88.21,$250.00,"12,788","1,654",96.64%
"APR 19, 2009",$105.03,$250.00,"13,199","1,654",99.75%
"APR 12, 2009",$106.51,$250.00,"13,233","1,654",100.01%
"APR 5, 2009",$89.08,$250.00,"11,765","1,654",88.91%
"MAR 29, 2009",$87.77,$250.00,"12,530","1,654",94.69%
"MAR 22, 2009",$89.98,$250.00,"12,537","1,654",94.75%
"MAR 15, 2009",$85.55,$250.00,"11,247","1,654",85.00%
"MAR 8, 2009",$79.44,$250.00,"10,240","1,654",77.39%
"MAR 1, 2009",$77.65,$250.00,"11,379","1,654",86.00%
"FEB 22, 2009",$88.62,$250.00,"12,918","1,654",97.63%
"FEB 15, 2009",$90.24,$250.00,"11,644","1,654",88.00%
"FEB 8, 2009",$73.66,$250.00,"11,204","1,654",84.67%
"FEB 1, 2009",$72.82,$250.00,"11,039","1,654",83.43%
"JAN 25, 2009",$77.16,$250.00,"11,165","1,654",84.38%
"JAN 18, 2009",$84.90,$250.00,"12,051","1,654",91.07%
"JAN 11, 2009",$83.12,$250.00,"12,400","1,654",93.71%
"JAN 4, 2009",$117.57,$250.00,"13,235","1,654",100.02%
"DEC 28, 2008",$117.63,$250.00,"13,051","1,654",98.63%
"DEC 21, 2008",$99.20,$250.00,"11,215","1,654",84.76%
"DEC 14, 2008",$96.22,$250.00,"10,978","1,654",82.97%
"DEC 7, 2008",$98.02,$250.00,"10,909","1,654",82.44%
"NOV 30, 2008",$112.53,$250.00,"13,068","1,654",98.76%
"NOV 23, 2008",$87.11,$250.00,"11,116","1,654",84.01%
"NOV 16, 2008",$88.12,$250.00,"10,168","1,654",76.84%
"NOV 9, 2008",$88.08,$250.00,"11,289","1,654",85.32%
"NOV 2, 2008",$87.03,$250.00,"11,334","1,654",85.66%
"OCT 26, 2008",$90.67,$250.00,"11,894","1,654",89.89%
"OCT 19, 2008",$94.42,$250.00,"12,586","1,654",95.12%
"OCT 12, 2008",$94.80,$250.00,"13,120","1,654",99.15%
"OCT 5, 2008",$86.67,$250.00,"12,652","1,654",95.62%
"SEP 28, 2008",$83.90,$250.00,"12,708","1,654",96.04%
"SEP 21, 2008",$87.97,$250.00,"12,266","1,654",92.70%
"SEP 14, 2008",$87.99,$250.00,"12,468","1,654",94.23%
"SEP 7, 2008",$88.98,$250.00,"11,139","1,654",84.18%
"AUG 31, 2008",$99.94,$251.25,"13,235","1,654",100.02%
"AUG 24, 2008",$99.78,$251.25,"13,232","1,654",100.00%
"AUG 17, 2008",$101.19,$251.25,"13,236","1,654",100.03%
"AUG 10, 2008",$100.27,$251.25,"13,232","1,654",100.00%
"AUG 3, 2008",$101.28,$251.25,"13,237","1,654",100.04%
"JUL 27, 2008",$100.08,$251.25,"13,232","1,654",100.00%
"JUL 20, 2008",$99.82,$251.25,"13,235","1,654",100.02%
"JUL 13, 2008",$99.13,$251.25,"13,234","1,654",100.02%
"JUL 6, 2008",$98.09,$251.25,"13,239","1,654",100.05%
"JUN 29, 2008",$98.26,$251.25,"13,238","1,654",100.05%
"JUN 22, 2008",$96.83,$251.25,"13,234","1,654",100.02%
"JUN 15, 2008",$94.75,$251.25,"13,134","1,654",99.26%
"JUN 8, 2008",$93.32,$251.25,"13,242","1,654",100.08%
"JUN 1, 2008",$91.82,$251.25,"13,017","1,654",98.38%
"MAY 25, 2008",$94.54,$251.25,"13,234","1,654",100.02%
"MAY 18, 2008",$93.15,$251.25,"13,112","1,654",99.09%
"MAY 11, 2008",$90.67,$251.25,"12,923","1,654",97.66%
"MAY 4, 2008",$93.66,$251.25,"13,129","1,654",99.22%
"APR 27, 2008",$100.16,$251.25,"12,951","1,654",97.88%
"APR 20, 2008",$93.33,$251.25,"13,154","1,654",99.41%
"APR 13, 2008",$92.79,$251.25,"13,003","1,654",98.27%
"APR 6, 2008",$91.32,$251.25,"13,116","1,654",99.12%
"MAR 30, 2008",$94.55,$251.25,"13,223","1,654",99.93%
"MAR 23, 2008",$99.99,$251.25,"13,235","1,654",100.02%
"MAR 16, 2008",$90.11,$251.25,"12,947","1,654",97.85%
"MAR 9, 2008",$83.00,$251.25,"11,802","1,654",89.19%
"MAR 2, 2008",$83.93,$251.25,"11,583","1,654",87.54%
"FEB 24, 2008",$93.11,$251.25,"11,857","1,654",89.61%
"FEB 17, 2008",$90.05,$251.25,"12,979","1,654",98.09%
"FEB 10, 2008",$80.34,$251.25,"11,986","1,654",90.58%
"FEB 3, 2008",$81.97,$251.25,"10,684","1,654",80.74%
"JAN 27, 2008",$83.90,$251.25,"11,261","1,654",85.10%
"JAN 20, 2008",$88.23,$251.25,"11,904","1,654",89.96%
"JAN 13, 2008",$84.32,$251.25,"12,156","1,654",91.87%
"JAN 6, 2008",$99.80,$251.25,"12,975","1,654",98.06%
"DEC 30, 2007",$118.76,$251.25,"13,236","1,654",100.03%
"DEC 23, 2007",$107.26,$251.25,"12,694","1,654",95.93%
"DEC 16, 2007",$96.95,$251.25,"11,616","1,654",87.79%
"DEC 9, 2007",$96.03,$251.25,"12,413","1,654",93.81%
"DEC 2, 2007",$96.66,$251.25,"9,499","1,654",95.72%
"NOV 25, 2007",$0.00,$251.25,0,0,0.00%
"NOV 18, 2007",$0.00,$251.25,0,0,0.00%
"NOV 11, 2007",$81.62,$251.25,"6,219","1,654",94.00%
"NOV 4, 2007",$89.07,$251.25,"12,279","1,654",92.80%
"OCT 28, 2007",$89.82,$251.25,"12,958","1,654",97.93%
"OCT 21, 2007",$90.77,$251.25,"13,003","1,654",98.27%
"OCT 14, 2007",$91.75,$251.25,"12,602","1,654",95.24%
"OCT 7, 2007",$92.11,$251.25,"12,718","1,654",96.12%
"SEP 30, 2007",$86.50,$251.25,"11,820","1,654",89.33%
"SEP 23, 2007",$86.44,$251.25,"12,127","1,654",91.65%
"SEP 16, 2007",$86.71,$251.25,"11,383","1,654",86.03%
"SEP 9, 2007",$88.74,$251.25,"10,637","1,654",80.39%
"SEP 2, 2007",$96.74,$251.25,"13,050","1,654",98.62%
"AUG 26, 2007",$99.04,$251.25,"13,159","1,654",99.45%
"AUG 19, 2007",$99.94,$251.25,"13,237","1,654",100.04%
"AUG 12, 2007",$99.79,$251.25,"13,234","1,654",100.02%
"AUG 5, 2007",$100.09,$251.25,"13,235","1,654",100.02%
"JUL 29, 2007",$99.12,$251.25,"13,235","1,654",100.02%
"JUL 22, 2007",$96.97,$251.25,"13,234","1,654",100.02%
"JUL 15, 2007",$97.63,$251.25,"13,233","1,654",100.01%
"JUL 8, 2007",$97.33,$251.25,"12,999","1,654",98.24%
"JUL 1, 2007",$96.04,$251.25,"13,237","1,654",100.04%
"JUN 24, 2007",$94.37,$251.25,"13,236","1,654",100.03%
"JUN 17, 2007",$93.92,$251.25,"13,235","1,654",100.02%
"JUN 10, 2007",$91.48,$251.25,"13,233","1,654",100.01%
"JUN 3, 2007",$90.19,$251.25,"13,004","1,654",98.28%
"MAY 27, 2007",$90.02,$251.25,"13,182","1,654",99.62%
"MAY 20, 2007",$89.08,$251.25,"13,058","1,654",98.69%
"MAY 13, 2007",$88.71,$251.25,"12,508","1,654",94.53%
"MAY 6, 2007",$88.65,$251.25,"12,652","1,654",95.62%
"APR 29, 2007",$88.95,$251.25,"12,943","1,654",97.82%
"APR 22, 2007",$90.44,$251.25,"12,904","1,654",97.52%
"APR 15, 2007",$90.49,$251.25,"13,231","1,654",99.99%
"APR 8, 2007",$99.00,$251.25,"13,240","1,654",100.06%
"APR 1, 2007",$90.18,$251.25,"13,235","1,654",100.02%
"MAR 25, 2007",$91.17,$251.25,"12,689","1,598",99.26%
"MAR 18, 2007",$89.04,$251.25,"12,687","1,598",99.24%
"MAR 11, 2007",$89.05,$251.25,"11,534","1,598",90.22%
"MAR 4, 2007",$85.14,$251.25,"10,479","1,598",81.97%
"FEB 25, 2007",$93.09,$250.00,"12,091","1,598",94.58%
"FEB 18, 2007",$92.80,$250.00,"12,094","1,598",94.60%
"FEB 11, 2007",$84.62,$250.00,"10,640","1,598",83.23%
"FEB 4, 2007",$79.46,$250.00,"10,261","1,598",80.26%
"JAN 28, 2007",$83.40,$250.00,"10,951","1,598",85.66%
"JAN 21, 2007",$82.35,$250.00,"10,492","1,598",82.07%
"JAN 14, 2007",$89.46,$250.00,"11,543","1,598",90.29%
"JAN 7, 2007",$96.90,$250.00,"12,620","1,598",98.72%
"DEC 31, 2006",$114.72,$250.00,"12,787","1,598",100.02%
"DEC 24, 2006",$108.43,$250.00,"12,252","1,598",95.84%
"DEC 17, 2006",$96.78,$250.00,"11,639","1,598",91.04%
"DEC 10, 2006",$95.97,$250.00,"12,295","1,598",96.17%
"DEC 3, 2006",$97.13,$250.00,"11,185","1,598",87.49%
"NOV 26, 2006",$110.45,$250.00,"12,702","1,598",99.36%
"NOV 19, 2006",$95.26,$250.00,"10,765","1,598",84.21%
"NOV 12, 2006",$91.31,$250.00,"11,603","1,598",90.76%
"NOV 5, 2006",$89.36,$250.00,"11,663","1,598",91.23%
"OCT 29, 2006",$91.52,$250.00,"11,226","1,598",87.81%
"OCT 22, 2006",$93.37,$250.00,"11,703","1,598",91.54%
"OCT 15, 2006",$93.59,$250.00,"12,335","1,598",96.49%
"OCT 8, 2006",$95.52,$250.00,"11,516","1,598",90.08%
"OCT 1, 2006",$92.69,$250.00,"10,492","1,598",82.07%
"SEP 24, 2006",$88.34,$250.00,"9,644","1,598",75.44%
"SEP 17, 2006",$86.15,$250.00,"9,885","1,598",77.32%
"SEP 10, 2006",$88.95,$250.00,"8,904","1,598",69.65%
"SEP 3, 2006",$97.08,$250.00,"12,029","1,598",94.09%
"AUG 27, 2006",$96.35,$250.00,"12,335","1,598",96.49%
"AUG 20, 2006",$96.53,$250.00,"12,645","1,598",98.91%
"AUG 13, 2006",$96.79,$250.00,"12,790","1,598",100.05%
"AUG 6, 2006",$98.08,$250.00,"12,784","1,598",100.00%
"JUL 30, 2006",$98.08,$250.00,"12,787","1,598",100.02%
"JUL 23, 2006",$98.55,$250.00,"12,785","1,598",100.01%
"JUL 16, 2006",$97.22,$250.00,"12,785","1,598",100.01%
"JUL 9, 2006",$96.24,$250.00,"12,546","1,598",98.14%
"JUL 2, 2006",$95.79,$250.00,"12,790","1,598",100.05%
"JUN 25, 2006",$92.12,$250.00,"12,785","1,598",100.01%
"JUN 18, 2006",$93.44,$250.00,"12,787","1,598",100.02%
"JUN 4, 2006",$85.16,$200.00,"14,148","1,801",98.20%
"MAY 28, 2006",$86.19,$200.00,"14,345","1,801",99.56%
"MAY 21, 2006",$85.15,$200.00,"14,178","1,801",98.40%
"MAY 14, 2006",$85.15,$200.00,"13,438","1,801",93.27%
"MAY 7, 2006",$83.85,$200.00,"13,498","1,801",93.68%
"APR 30, 2006",$84.03,$200.00,"13,771","1,801",95.58%
"APR 23, 2006",$86.39,$200.00,"14,529","1,801",100.84%
"APR 16, 2006",$88.08,$200.00,"14,556","1,801",101.03%
"APR 9, 2006",$84.21,$200.00,"13,978","1,801",97.02%
"APR 2, 2006",$85.11,$200.00,"14,260","1,801",98.97%
"MAR 26, 2006",$85.71,$200.00,"14,290","1,801",99.18%
"MAR 19, 2006",$84.55,$200.00,"14,437","1,801",100.20%
"MAR 12, 2006",$81.50,$200.00,"14,499","1,801",100.63%
"MAR 5, 2006",$83.74,$200.00,"12,430","1,801",86.27%
"FEB 26, 2006",$87.42,$200.00,"14,420","1,801",100.08%
"FEB 19, 2006",$85.42,$200.00,"12,580","1,801",87.31%
"FEB 12, 2006",$82.67,$200.00,"11,928","1,801",82.79%
"FEB 5, 2006",$81.57,$200.00,"11,006","1,801",76.39%
"JAN 29, 2006",$99.10,$200.00,"9,861","1,801",68.44%
"JAN 22, 2006",$82.46,$200.00,"11,670","1,801",81.00%
"JAN 15, 2006",$83.67,$200.00,"13,142","1,801",91.21%
"JAN 8, 2006",$84.44,$200.00,"14,426","1,801",100.12%
"JAN 1, 2006",$99.83,$200.00,"14,580","1,801",101.19%
"DEC 25, 2005",$98.39,$200.00,"14,491","1,801",100.58%
"DEC 18, 2005",$84.58,$200.00,"14,020","1,801",97.31%
"DEC 11, 2005",$84.54,$200.00,"14,423","1,801",100.10%
"DEC 4, 2005",$83.44,$200.00,"13,511","1,801",93.77%
"NOV 27, 2005",$96.93,$200.00,"14,590","1,801",101.26%
"NOV 20, 2005",$82.58,$100.00,"13,171","1,801",91.41%
"NOV 13, 2005",$81.87,$100.00,"13,629","1,801",94.59%
"NOV 6, 2005",$81.00,$100.00,"13,081","1,801",90.79%
"OCT 30, 2005",$80.49,$100.00,"14,054","1,801",97.54%
"OCT 23, 2005",$80.97,$100.00,"14,060","1,801",97.58%
"OCT 16, 2005",$80.90,$100.00,"14,100","1,801",97.86%
"OCT 9, 2005",$81.40,$100.00,"14,223","1,801",98.72%
"OCT 2, 2005",$80.13,$100.00,"13,110","1,801",90.99%
"SEP 25, 2005",$80.06,$100.00,"13,356","1,801",92.70%
"SEP 18, 2005",$81.50,$100.00,"12,438","1,801",86.33%
"SEP 11, 2005",$81.29,$100.00,"12,221","1,801",84.82%
"SEP 4, 2005",$82.27,$100.00,"14,261","1,801",98.98%
"AUG 28, 2005",$82.41,$100.00,"14,559","1,801",101.05%
"AUG 21, 2005",$83.17,$100.00,"14,541","1,801",100.92%
"AUG 14, 2005",$83.45,$100.00,"14,568","1,801",101.11%
"AUG 7, 2005",$83.33,$100.00,"14,562","1,801",101.07%
"JUL 31, 2005",$83.39,$100.00,"14,573","1,801",101.15%
"JUL 24, 2005",$82.99,$100.00,"14,550","1,801",100.99%
"JUL 17, 2005",$82.80,$100.00,"14,557","1,801",101.03%
"JUL 10, 2005",$82.54,$100.00,"14,529","1,801",100.84%
"JUL 3, 2005",$82.79,$100.00,"14,538","1,801",100.90%
"JUN 26, 2005",$82.53,$100.00,"14,488","1,801",100.56%
"JUN 19, 2005",$82.10,$100.00,"14,472","1,801",100.44%
"JUN 12, 2005",$81.04,$100.00,"14,472","1,801",100.44%
"JUN 5, 2005",$81.03,$100.00,"14,438","1,801",100.21%
"MAY 29, 2005",$81.05,$100.00,"14,512","1,801",100.72%
"MAY 22, 2005",$80.79,$100.00,"14,491","1,801",100.58%
"MAY 15, 2005",$80.81,$100.00,"14,321","1,801",99.40%
"MAY 8, 2005",$81.00,$100.00,"14,485","1,801",100.53%
"MAY 1, 2005",$81.11,$100.00,"14,481","1,801",100.51%
"APR 24, 2005",$81.06,$100.00,"14,488","1,801",100.56%
"APR 17, 2005",$81.19,$100.00,"14,302","1,801",99.26%
"APR 10, 2005",$80.66,$100.00,"14,441","1,801",100.23%
"APR 3, 2005",$81.51,$100.00,"14,488","1,801",100.56%
"MAR 27, 2005",$81.96,$100.00,"14,539","1,801",100.91%
"MAR 20, 2005",$81.50,$100.00,"14,499","1,801",100.63%
"MAR 13, 2005",$78.93,$100.00,"14,223","1,801",98.72%
"MAR 6, 2005",$78.00,$100.00,"13,338","1,801",92.57%
"FEB 27, 2005",$81.66,$100.00,"14,475","1,801",100.47%
"FEB 20, 2005",$80.25,$100.00,"13,714","1,801",95.18%
"FEB 13, 2005",$78.35,$100.00,"13,453","1,801",93.37%
"FEB 6, 2005",$77.60,$100.00,"12,110","1,801",84.05%
"JAN 30, 2005",$78.55,$100.00,"12,187","1,801",84.58%
"JAN 23, 2005",$77.85,$100.00,"12,380","1,801",85.92%
"JAN 16, 2005",$79.43,$100.00,"13,514","1,801",93.80%
"JAN 9, 2005",$79.86,$100.00,"14,443","1,801",100.24%
"JAN 2, 2005",$90.81,$100.00,"14,585","1,801",101.23%
"DEC 26, 2004",$91.04,$100.00,"14,589","1,801",101.26%
"DEC 19, 2004",$79.82,$100.00,"14,561","1,801",101.06%
"DEC 12, 2004",$80.67,$100.00,"14,527","1,801",100.83%
"DEC 5, 2004",$80.62,$100.00,"14,116","1,801",97.97%
"NOV 28, 2004",$87.42,$100.00,"14,572","1,801",101.14%
"NOV 21, 2004",$79.81,$100.00,"13,290","1,801",92.24%
"NOV 14, 2004",$79.96,$100.00,"14,041","1,801",97.45%
"NOV 7, 2004",$79.99,$100.00,"13,806","1,801",95.82%
"OCT 31, 2004",$78.79,$100.00,"13,163","1,801",91.36%
"OCT 24, 2004",$79.41,$100.00,"14,230","1,801",98.76%
"OCT 17, 2004",$79.37,$100.00,"14,276","1,801",99.08%
"OCT 10, 2004",$80.96,$100.00,"13,754","1,801",95.46%
"OCT 3, 2004",$79.32,$100.00,"13,156","1,801",91.31%
"SEP 26, 2004",$79.60,$100.00,"13,664","1,801",94.84%
"SEP 19, 2004",$78.91,$100.00,"13,654","1,801",94.77%
"SEP 12, 2004",$78.86,$100.00,"12,433","1,801",86.29%
"SEP 5, 2004",$79.19,$100.00,"11,584","1,801",80.40%
"AUG 29, 2004",$80.37,$100.00,"14,539","1,801",100.91%
"AUG 22, 2004",$80.29,$100.00,"14,569","1,801",101.12%
"AUG 15, 2004",$80.27,$100.00,"14,561","1,793",101.51%
"AUG 8, 2004",$81.04,$100.00,"14,552","1,793",101.45%
"AUG 1, 2004",$80.08,$100.00,"14,556","1,793",101.48%
"JUL 25, 2004",$80.16,$100.00,"14,534","1,793",101.32%
"JUL 18, 2004",$79.81,$100.00,"14,540","1,793",101.37%
"JUL 11, 2004",$80.13,$100.00,"14,507","1,793",101.14%
"JUL 4, 2004",$79.99,$100.00,"14,544","1,793",101.39%
"JUN 27, 2004",$79.15,$100.00,"14,528","1,793",101.28%
"JUN 20, 2004",$78.65,$100.00,"14,536","1,793",101.34%
